State,  Population 3 years and over enrolled in school,"    Nursery school, preschool",    Kindergarten,    Elementary school (grades 1-8),    High school (grades 9-12),    College or graduate school,  Population 25 years and over,    Less than 9th grade,"    9th to 12th grade, no diploma",    High school graduate (includes equivalency),"    Some college, no degree",    Associate degree,    Bachelor's degree,    Graduate or professional degree,    Percent high school graduate or higher,    Percent bachelor's degree or higher,  Population 15 years and over,    Never married,"    Now married, except separated",    Separated,    Widowed,      Female,    Divorced,      Female,  Grandparent living in household with one or more own grandchildren under 18 years,    Grandparent responsible for grandchildren,  Civilian population 18 years and over,    Civilian veterans,  Population 5 to 20 years,    With a disability,  Population 21 to 64 years,    With a disability,      Percent employed,    No disability,      Percent employed,  Population 65 years and over,    With a disability,  Population 5 years and over,    Same house in 1995,    Different house in the U.S. in 1995,      Same county,      Different county,        Same state,        Different state,    Elsewhere in 1995,NATIVITY AND PLACE OF BIRTH,  Total population,    Native,      Born in United States,        State of residence,        Different state,      Born outside United States,    Foreign born,      Entered 1990 to March 2000,      Naturalized citizen,      Not a citizen,  Total (excluding born at sea),    Europe,    Asia,    Africa,    Oceania,    Latin America,    Northern America,  Population 5 years and over,    English only,    Language other than English,      Speak English less than 'very well,      Spanish,"        Speak English less than ""very well""",      Other Indo-European languages,"        Speak English less than ""very well""",      Asian and Pacific Island languages,"        Speak English less than ""very well""",  Total population,  Total ancestries reported,    Arab,    Czech[1],    Danish,    Dutch,    English,    French (except Basque)[1],    French Canadian[1],    German,    Greek,    Hungarian,    Irish[1],    Italian,    Lithuanian,    Norwegian,    Polish,    Portuguese,    Russian,    Scotch-Irish,    Scottish,    Slovak,    Subsaharan African,    Swedish,    Swiss,    Ukrainian,    United States or American,    Welsh,    West Indian (excluding Hispanic groups),    Other ancestries
Minnesota,1362507,90516,71974,595721,308038,296258,3164345,158858,222487,912672,759153,243093,605210,262872,87.9,27.4,3857755,1083369,2172676,40287,224775,184628,336648,185992,45217,17682,3630355,464968,1168374,82719,2803699,392313,65,2411386,84.3,554138,204204,4591491,2617599,1889387,933981,955406,600156,355250,84505,,4919479,4659016,4632962,3451522,1181440,26054,260463,141968,97308,163155,260454,43652,105153,34469,1375,62556,13249,4591491,4201503,389988,167511,132066,61817,110644,30433,103520,57969,4919479,6181742,13923,101702,88924,99944,309802,202946,59719,1806650,10619,12279,552952,111270,5633,850742,240405,2487,35513,46370,62152,7786,43628,486507,23140,14356,142500,21677,3991,824125
Mississippi,789903,54058,47384,363300,172164,152997,1757517,169178,307852,516091,366744,100561,194325,102766,72.9,16.9,2203615,610133,1133554,62987,175143,144954,221798,122912,84157,48061,2054721,249431,706937,61061,1542401,378099,49.1,1164302,74.3,325801,168410,2641453,1544846,1071338,595347,475991,249203,226788,25269,,2844658,2804750,2791115,2113883,677232,13635,39908,19781,16098,23810,39904,7643,14434,1270,249,14582,1726,2641453,2545931,95522,36059,50515,20856,23700,5805,13558,6303,2844658,2289356,4215,2220,2617,18713,173633,66130,9932,129275,2662,1843,195741,40401,537,7088,10155,1059,2356,55077,35185,507,20469,7155,1601,723,403518,6951,1734,1087859
Missouri,1479573,102502,77764,663155,316637,319515,3634906,237618,441477,1189670,796999,184666,507892,276584,81.3,21.6,4414391,1095920,2447824,79774,315532,259661,475341,264469,90200,43907,4153926,592271,1288509,103038,3120642,567320,55.3,2553322,80,711417,303279,5226022,2803368,2355291,1229176,1126115,652746,473369,67363,,5595211,5444015,5412743,3792261,1620482,31272,151196,79223,61786,89410,151195,43101,52733,8453,1580,39048,6280,5226022,4961741,264281,103019,110752,45990,97816,31383,41970,21210,5595211,5387527,12927,31006,18207,99948,528935,195586,18079,1313951,12688,13694,711995,176209,5571,40887,90448,3800,25839,92706,83047,4612,26140,55774,21909,6228,587082,34187,4658,1171414
Montana,241754,13694,12033,108571,56201,51255,586621,25200,50158,183415,150467,34420,100758,42203,87.2,24.4,715915,171715,410379,9012,46730,37543,78079,41837,11098,6053,668651,108476,212617,15111,504718,85337,55.4,419381,79.1,114359,45284,847362,453995,386483,191049,195434,83904,111530,6884,,902195,885799,878931,505966,372965,6868,16396,4751,9482,6914,16396,6525,3305,184,258,1565,4559,847362,803031,44331,12663,12953,3411,17978,5065,3066,1323,902195,1045819,1157,8703,15204,22796,114216,38230,10213,243648,2290,3250,134364,28031,1136,95525,17774,1434,8398,23117,27170,1144,395,30721,5179,1986,46131,9312,199,154096
Nebraska,480705,30386,25269,204490,108245,112315,1087241,58376,87485,339952,263692,79596,179181,78959,86.6,23.7,1342422,346102,770109,15034,89953,74341,121224,66973,17401,8454,1253717,173189,408944,27486,935583,142647,64.9,792936,84.4,216774,80401,1594700,872471,693947,372885,321062,167037,154025,28282,,1711263,1636625,1626363,1147815,478548,10262,74638,43162,23918,50720,74638,10837,19202,2649,347,39991,1612,1594700,1469046,125654,57772,77655,39825,27905,7862,15014,8142,1711263,1957736,4696,93286,52470,38523,163651,44841,6704,661133,3161,2740,229805,42979,3215,39536,62475,1226,11002,24964,23173,896,5195,84294,8596,1944,76910,10374,753,259194
Nevada,492885,27345,30087,232258,104564,98631,1310176,84237,169137,384270,353797,80860,158078,79797,80.7,18.2,1563580,389244,835801,36447,85991,66569,216097,113699,45286,18685,1480440,238128,436023,33466,1173263,255628,61.4,917635,74.9,214065,86816,1853720,692787,1085721,567036,518685,52562,466123,75212,,1998257,1681664,1655486,425626,1229860,26178,316593,139294,116786,199807,316593,32202,72350,4910,2094,194268,10769,1853720,1425748,427972,207687,299947,162301,47183,12295,68523,29222,1998257,2136506,7232,9601,19400,31481,201447,63148,14104,282403,9278,10285,220488,132515,3448,38353,46973,11218,20408,28962,37780,2542,11111,36105,7460,3982,95995,14947,2714,773126
New Hampshire,332888,20868,15899,151310,69979,74832,823987,32426,71328,247723,164634,71772,153874,82230,87.4,28.7,978641,243840,560995,13320,57763,46372,102723,56832,14660,4534,926066,139038,281938,23641,724541,116642,64.2,607899,83.9,139078,53610,1160340,642397,501335,259110,242225,79975,162250,16608,,1235786,1181632,1170140,534558,635582,11492,54154,20191,25761,28393,54154,18248,13481,1864,350,7759,12452,1160340,1064252,96088,28073,18647,6907,64067,15607,9891,4618,1235786,1459622,6833,3401,3710,12626,223026,180947,127153,105906,15279,3784,240804,105610,7256,10301,51183,13095,10694,27985,53797,1232,2006,24911,2683,3457,73700,8240,1690,138313
New Jersey,2217832,181423,121950,978203,465954,470302,5657799,373429,641048,1661493,998872,298096,1063665,621196,82.1,29.8,6655333,1868368,3636045,159293,490779,400113,500848,302581,185771,58789,6321650,672217,1806868,134026,4864368,844726,59.4,4019642,77,1063982,411059,7856268,4697484,2847019,1628378,1218641,684063,534578,311765,,8414350,6938023,6738114,4490524,2247590,199909,1476327,614416,682304,794023,1476327,352914,410123,59917,2354,634084,16935,7856268,5854578,2001690,873088,967741,483069,659248,241627,275832,119581,8414350,9586504,72468,45432,22534,119315,521902,125493,30126,1063384,61522,115615,1336723,1503637,37726,48403,576473,72196,189524,77111,106607,46264,70005,58564,19983,73809,263807,40010,116475,2771396
New Mexico,533786,28597,27031,238669,119224,120265,1134801,104985,134996,301746,259924,67001,154372,111777,78.9,23.5,1398496,384658,741425,24979,84845,67410,162589,92380,46014,24041,1300288,190718,457185,37135,996726,209280,53.5,787446,72.4,205591,92015,1689911,919717,731488,400128,331360,126093,205267,38706,,1819046,1669440,1650808,937212,713596,18632,149606,58482,52103,97503,149606,15286,14330,1118,650,114858,3364,1689911,1072947,616964,201055,485681,158629,22032,5121,11517,5034,1819046,1824856,4296,6401,7448,21195,138405,36540,7529,179228,3736,4331,133965,43218,1775,18088,20723,2225,8564,27427,29243,1372,2793,16809,4445,1821,92940,10024,1474,998841
New York,5217030,331376,272504,2208497,1103278,1301375,12542536,1005805,1620519,3480768,2103404,898828,1954242,1478970,79.1,27.4,15055876,4777896,7535841,484640,1084409,887299,1173090,709220,412000,143014,14278716,1361164,4197977,370856,10932732,2294611,54.1,8638121,74.1,2333555,940680,17749110,10961493,6066869,3876450,2190419,1463942,726477,720748,,18976457,15108324,14589263,12384940,2204323,519061,3868133,1561609,1783744,2084389,3868094,879307,916597,116936,7680,1891612,55962,17749110,12786189,4962921,2310256,2416126,1182068,1654540,663874,671019,395159,18976457,20381381,121925,76820,38587,272904,1140036,479199,151839,2122620,159763,137029,2454469,2737146,49083,90524,986141,43839,460261,138844,212275,37863,166508,133788,38721,148700,717234,85356,685874,6494033
North Carolina,2043225,135315,114713,913173,417749,462275,5282994,413495,741229,1502978,1080504,358075,808070,378643,78.1,22.5,6393707,1595469,3596838,192383,432299,358740,576718,327002,160576,79810,5997177,792646,1749742,147883,4642863,969694,57.9,3673169,78.7,924128,422788,7513165,3980197,3336631,1678629,1658002,738666,919336,196337,,8049313,7619313,7548433,5073066,2475367,70880,430000,268357,112822,317178,430000,60222,93133,20369,1825,239853,14598,7513165,6909648,603517,297858,378942,218792,119961,32041,78246,39065,8049313,6982680,19580,14661,11093,93699,767749,127679,29215,762387,19146,16100,596219,181982,6635,32627,87968,7294,25363,255825,177546,7299,61798,40697,12211,9607,1115401,38287,15915,2448697
North Dakota,179667,8725,8650,73725,41564,47003,408585,35658,30298,113931,100288,38567,67551,22292,83.9,22,512281,141300,290833,3610,36702,30346,39836,21235,4645,2547,474210,61365,153594,11046,345334,53170,64,292164,82.7,87361,33601,603106,342460,253430,131446,121984,61732,60252,7216,,642200,630086,625998,465667,160331,4088,12114,6339,5156,6958,12114,4008,2793,793,121,1373,3026,603106,565130,37976,11003,8263,2762,24191,6670,1933,696,642200,813468,1042,14282,9188,9095,31560,25090,5398,282058,605,2802,49387,5328,265,193158,17700,348,22514,6674,8011,499,1051,31966,1749,3815,15495,1660,237,72491
Ohio,3014460,204086,163537,1349361,645083,652393,7411740,331801,930284,2674551,1471964,439608,1016256,547276,83,21.1,8952721,2348701,4875521,139602,637192,520456,951705,536437,185443,86009,8458130,1144007,2601181,205844,6394650,1120611,56,5274039,79.4,1422071,583034,10599968,6095656,4383727,2792785,1590942,1002292,588650,120585,,11353140,11013861,10940441,8485725,2454716,73420,339279,143035,169295,169984,339267,131683,120213,22034,1632,47124,16581,10599968,9951475,648493,234459,213147,77394,296816,99316,84658,40574,11353140,11699513,54650,86892,18103,200850,1046671,272139,36917,2866565,50609,193951,1447735,675749,23970,41537,433016,6002,73863,165741,197437,157125,65250,72369,70302,47228,981611,132041,11375,2269815
Oklahoma,930865,60100,50220,412966,204317,203262,2203173,134976,292257,693607,516456,119106,297082,149689,80.6,20.3,2717552,607432,1558216,47283,189169,155587,315452,175328,67194,39279,2536569,376062,809597,70153,1885835,405333,55.2,1480502,76.9,429566,200612,3215719,1650318,1510240,808448,701792,379292,322500,55161,,3450654,3318907,3290431,2158827,1131604,28476,131747,69879,45766,85981,131739,16102,39761,4626,810,66706,3734,3215719,2977187,238532,98990,141060,65280,36892,9045,34517,18325,3450654,3006879,8177,16591,7627,69451,291553,78644,10579,435245,4208,3626,354802,49970,1388,21923,27090,2842,7427,58798,52030,1219,12914,24994,5476,2178,392283,16960,14910,1033974
Oregon,876492,50273,44744,385091,191573,204811,2250998,111705,223106,591229,610753,149639,369252,195314,85.1,25.1,2722134,683656,1509301,46881,165315,133396,316981,175435,51169,22103,2574798,388990,761919,62544,1973306,354828,57.9,1618478,78.2,423459,175929,3199323,1496938,1619024,863070,755954,356626,399328,83361,,3421399,3131697,3101672,1549044,1552628,30025,289702,144801,97381,192321,289699,54441,79183,5033,4609,129268,17165,3199323,2810654,388669,188958,217614,116557,82828,28497,75279,39972,3421399,3751074,9422,23106,44704,89887,452808,126766,31354,701444,10478,11265,408605,111462,4472,147262,54503,14674,38200,79072,108836,2574,8249,107065,28496,14711,218673,39946,2582,860458
Pennsylvania,3135934,203934,159146,1379671,690020,703163,8266284,452069,1044036,3150013,1284731,487804,1153383,694248,81.9,22.4,9861713,2685328,5352297,215846,808903,656381,799339,456801,204909,80423,9354471,1280788,2689895,202259,6837268,1196717,54.8,5640551,78.3,1809320,712795,11555538,7333591,4056716,2513167,1543549,874796,668753,165231,,12281054,11772763,11620495,9544251,2076244,152268,508291,209123,257339,250952,508282,182667,182967,25413,2178,99514,15543,11555538,10583054,972484,368257,356754,140502,428122,138542,143955,76183,12281054,13575589,49413,70704,16762,255373,966253,211264,31769,3115560,56911,132184,1983262,1418465,78330,38869,824146,13566,178855,218173,185163,243009,58807,105525,60107,122291,633236,182289,36396,2288907
Rhode Island,290605,16207,14443,118468,57478,84009,694573,56312,96774,192914,122261,48495,110175,67642,78,25.6,841503,249556,433554,16022,63120,51061,79251,47430,16957,5060,797047,102494,234287,21713,589705,116305,58.4,473400,79.4,143565,57788,985184,572209,387429,240067,147362,50382,96980,25546,,1048319,929042,910056,643912,266144,18986,119277,41478,56184,63093,119277,39221,19578,12066,397,43892,4123,985184,788560,196624,83624,79443,40403,91449,31517,19926,9991,1048319,1231139,7171,1673,1811,5832,125393,114264,66792,56066,6482,2127,193273,199077,3419,4307,43159,91445,9662,12037,20024,843,23249,18752,1370,3331,31357,2780,4574,180869
South Carolina,1053152,68727,62867,474360,230359,216839,2596010,215776,398503,778054,500194,173428,351526,178529,76.3,20.4,3168918,823644,1718191,105253,231793,190426,290037,163531,99558,51755,2967197,420971,916760,82446,2270202,514963,55.5,1755239,77.1,465847,213448,3748669,2097193,1592098,836638,755460,313011,442449,59378,,4012012,3896034,3862472,2568954,1293518,33562,115978,60807,42983,72995,115978,27177,29402,3248,825,49608,5718,3748669,3552240,196429,82279,110030,53604,55116,14485,25534,12489,4012012,3464624,6460,6824,5017,38171,328329,71105,13290,337984,9244,7953,318247,81377,3129,14279,36817,3099,9005,118071,73593,3167,31775,16961,6080,3207,557583,16888,5903,1341066
South Dakota,208229,12693,11173,92769,48700,42894,474359,35421,37759,156006,109300,33861,73563,28449,84.6,21.5,589612,154033,336502,6160,41144,34104,51773,27121,8019,4632,548771,79370,186018,12653,399575,62238,64,337337,83.7,100501,39728,703820,391777,304918,149023,155895,83347,72548,7125,,754844,741349,737555,513867,223688,3794,13495,7427,5452,8043,13495,4255,4063,1561,95,2502,1019,703820,658245,45575,16376,10052,3999,19510,7699,3053,1505,754844,877136,1407,17660,20112,35655,53241,21871,4315,307309,733,982,78481,7541,287,115292,11527,343,9372,7571,7898,211,1731,29707,3085,875,29181,3587,181,106981
Tennessee,1415105,90016,78278,650037,309224,287550,3744928,359789,541895,1182699,750149,177708,478463,254225,75.9,19.6,4522630,1062215,2539975,91839,317412,263844,511189,286270,119968,61252,4274395,560141,1256186,110457,3290729,719573,53.2,2571156,77.7,668071,319663,5315920,2865547,2372401,1340667,1031734,463768,567966,77972,,5689283,5530279,5493226,3679056,1814170,37053,159004,91804,53185,105819,159004,28117,50584,8696,929,63484,7194,5315920,5059404,256516,108265,133931,64378,68879,19044,39701,20071,5689283,4688875,13158,8463,7293,75684,516893,93802,16180,474696,8184,8323,527977,94402,3010,21654,45548,3144,12042,150501,103325,2844,34569,25961,8108,3786,998293,25071,5220,1400744
Texas,5948260,390094,348203,2707281,1299792,1202890,12790893,1465420,1649141,3176743,2858802,668494,1996250,976043,75.7,23.2,15937643,4076697,9006327,392957,902613,738953,1559049,895265,551047,257074,14871550,1754809,5183137,410150,11612066,2315414,58.3,9296652,74.7,1966272,879978,19241518,9545367,8970191,5204389,3765802,2402953,1362849,725960,,20851820,17952178,17727394,12970203,4757191,224784,2899642,1335524,914326,1985316,2899640,152327,466218,64470,6984,2172476,37165,19241518,13230765,6010753,2669603,5195182,2369036,358019,92380,374330,186504,20851820,19485505,63733,187729,43719,202566,1462984,466815,88964,2068981,32319,30234,1507845,363354,12586,118968,228309,16552,56465,337630,289827,10341,132754,127871,28774,15574,1554012,81113,40345,9915141
Utah,741524,46057,38261,305486,164977,186743,1197892,38426,108585,294426,348680,94812,213959,99004,87.7,26.1,1639688,457015,963341,20027,67035,54247,132270,73061,39564,15989,1510842,161351,638650,44010,1175910,181290,64.2,994620,78.7,183813,73386,2023875,998458,960754,538410,422344,180155,242189,64663,,2233169,2074505,2054627,1405177,649450,19878,158664,90725,48178,110486,158657,25640,28373,2414,6612,87883,7735,2023875,1770626,253249,105691,150244,71405,49865,13156,37805,16310,2233169,2449213,4598,5010,144713,51891,647987,50549,7396,258496,11691,3306,132162,57512,1605,60567,16784,4031,7041,25031,98518,991,3600,94911,31397,2304,150814,48345,829,527134
Vermont,164156,9520,7736,70680,35902,40318,404223,20769,34127,130804,68440,31058,74124,44901,86.4,29.4,488281,130410,269304,6161,30836,25126,51570,28937,5332,1934,460487,62809,141158,11693,353932,57181,60,296751,83.5,73355,28293,574842,339599,227850,121993,105857,36109,69748,7393,,608827,585582,580923,330528,250395,4659,23245,8217,12451,10794,23245,8971,4455,511,173,1210,7925,574842,540767,34075,9305,5791,1407,24334,6211,3015,1521,608827,691861,2084,2319,2522,8920,111979,88139,53835,55427,2296,3058,100153,38835,1691,4498,20484,2044,6692,12899,27715,893,659,10065,1953,1656,50448,6688,361,73548
Virginia,1868101,125701,101127,806445,384028,450800,4666574,338184,526426,1212463,951700,262813,835011,539977,81.5,29.5,5623628,1473063,3132259,163486,350451,286985,504369,290268,140015,59464,5211916,786359,1549749,125668,4073957,712330,58.5,3361627,79.8,753882,317085,6619266,3453486,2960329,1196930,1763399,941661,821738,205451,,7078515,6508236,6402682,3676255,2726427,105554,570279,269121,232767,337512,570271,86612,235374,42509,2807,189809,13160,6619266,5884075,735191,303729,316274,151938,195846,53125,170136,82167,7078515,6770807,41663,25126,17083,80104,788849,143414,38400,828664,25846,25783,696315,257129,12837,46877,124647,12031,45076,158639,153447,13199,69775,50873,18257,15056,808386,48646,23149,2201536
Washington,1584701,98839,82637,697192,347619,358414,3827507,165205,329131,953544,1010801,307401,704826,356599,87.1,27.7,4639522,1218610,2566957,74786,249461,201464,529708,297822,84592,35341,4336464,670628,1355830,103962,3399917,606589,57.6,2793328,78.1,639648,270456,5501398,2675514,2650217,1511065,1139152,520757,618395,175667,,5894121,5279664,5195697,2781457,2414240,83967,614457,286439,257648,356809,614414,126270,239748,18775,8064,173870,47687,5501398,4730512,770886,350914,321490,155374,176722,62281,242836,123088,5894121,6483378,15141,33770,72098,142387,706681,215412,57440,1103258,19699,18590,673206,191442,8071,367508,102553,17200,63136,126490,178446,5084,28660,213013,33269,30057,315737,62262,5779,1676989
West Virginia,418553,22008,22820,186967,94429,92329,1233581,123622,182192,486334,205025,53448,109651,73309,75.2,14.8,1479301,327275,846400,21707,129556,106709,154363,82704,30833,16151,1404936,201701,376876,34350,1038716,247261,40.4,791455,71.5,265759,129170,1706931,1081045,617552,358912,258640,120153,138487,8334,,1808344,1788954,1782125,1342589,439536,6829,19390,6916,10446,8944,19390,6694,8385,664,158,2411,1078,1706931,1661036,45895,13550,17652,5728,19491,4970,6038,2249,1808344,1468395,5497,4319,1317,37837,176297,25183,2824,253388,4372,7477,198473,69935,1660,3855,28500,550,4436,37394,28139,4451,2901,5351,2884,1808,340519,12138,920,205970
Wisconsin,1463038,85045,81072,639162,329222,328537,3475878,186125,332292,1201813,715664,260711,530268,249005,85.1,22.4,4239561,1153197,2383565,49955,269611,220044,383233,209478,55983,23687,3993440,514213,1258268,98981,3018794,449699,61.7,2569095,83.1,662813,242237,5022073,2836232,2121312,1233211,888101,549993,338108,64529,,5363675,5169924,5137296,3939488,1197808,32628,193751,90728,76223,117528,193744,52213,62762,4812,1046,65683,7228,5022073,4653361,368712,148910,168778,76697,124719,36736,61447,31942,5363675,6477169,8935,110801,72160,149777,347854,206139,64302,2289585,15449,23945,583062,172567,13379,454831,497726,2250,32823,39368,55679,14513,13640,149977,59090,8032,189283,28184,3147,870671
Wyoming,136139,7880,6612,59518,32432,29697,315663,10614,27703,97779,85184,25221,47066,22096,87.9,21.9,390845,91098,227222,4666,22378,17959,45481,23472,6113,3582,362387,57860,119219,9175,277326,46493,62,230833,80,54630,21475,462809,237506,220066,111306,108760,35926,72834,5237,,493782,482577,478776,209687,269089,3801,11205,4237,5121,6084,11205,2937,2170,261,192,4514,1131,462809,433324,29485,8919,18606,6223,6391,1381,2117,862,493782,553210,369,4766,9703,12320,78681,17100,3275,127836,1805,1561,65785,15286,475,21204,9929,773,3779,12222,15830,383,381,17168,3042,572,32134,6143,169,90519
